"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Michigan","26","2021","2021",2593,10050811,25.8,26.6
,"Michigan","26","2022","2022",2454,10034113,24.5,25.2
,"Michigan","26","2023","2023",2340,10037261,23.3,23.8
,"Michigan","26","2024 (provisional)","2024",1384,10037261,13.8,14.0
,"Michigan","26","2025 (provisional and partial)","2025",279,10037261,2.8,2.8
"Total","Michigan","26",,,15134,80146034,18.9,19.5
,"Minnesota","27","2018","2018",352,5611179,6.3,6.4
,"Minnesota","27","2019","2019",435,5639632,7.7,7.9
,"Minnesota","27","2020","2020",705,5657342,12.5,13.0
,"Minnesota","27","2021","2021",1003,5707390,17.6,18.3
,"Minnesota","27","2022","2022",1057,5717184,18.5,19.2
,"Minnesota","27","2023","2023",1009,5737915,17.6,18.3
,"Minnesota","27","2024 (provisional)","2024",690,5737915,12.0,12.2
,"Minnesota","27","2025 (provisional and partial)","2025",190,5737915,3.3,3.4
"Total","Minnesota","27",,,5441,45546472,11.9,12.4
,"Mississippi","28","2018","2018",177,2986530,5.9,6.2
,"Mississippi","28","2019","2019",249,2976149,8.4,8.7
,"Mississippi","28","2020","2020",409,2966786,13.8,14.7
,"Mississippi","28","2021","2021",566,2949965,19.2,20.7
,"Mississippi","28","2022","2022",552,2940057,18.8,20.3
,"Mississippi","28","2023","2023",497,2939690,16.9,18.2
,"Mississippi","28","2024 (provisional)","2024",305,2939690,10.4,11.1
,"Mississippi","28","2025 (provisional and partial)","2025",68,2939690,2.3,2.4
"Total","Mississippi","28",,,2823,23638557,11.9,12.8
,"Missouri","29","2018","2018",1185,6126452,19.3,20.5
,"Missouri","29","2019","2019",1137,6137428,18.5,19.5
,"Missouri","29","2020","2020",1428,6151548,23.2,24.7
,"Missouri","29","2021","2021",1638,6168187,26.6,28.1
,"Missouri","29","2022","2022",1629,6177957,26.4,27.8
,"Missouri","29","2023","2023",1501,6196156,24.2,25.7
,"Missouri","29","2024 (provisional)","2024",958,6196156,15.5,16.2
,"Missouri","29","2025 (provisional and partial)","2025",188,6196156,3.0,3.1
"Total","Missouri","29",,,9664,49350040,19.6,20.7
,"Montana","30","2018","2018",64,1062305,6.0,6.2
,"Montana","30","2019","2019",73,1068778,6.8,7.4
,"Montana","30","2020","2020",88,1080577,8.1,8.8
,"Montana","30","2021","2021",116,1104271,10.5,11.3
,"Montana","30","2022","2022",131,1122867,11.7,12.4
,"Montana","30","2023","2023",135,1132812,11.9,12.5
,"Montana","30","2024 (provisional)","2024",105,1132812,9.3,9.7
,"Montana","30","2025 (provisional and partial)","2025",26,1132812,2.3,2.6
"Total","Montana","30",,,738,8837234,8.4,8.9
,"Nebraska","31","2018","2018",66,1929268,3.4,3.5
,"Nebraska","31","2019","2019",73,1934408,3.8,3.8
,"Nebraska","31","2020","2020",107,1937552,5.5,5.5
,"Nebraska","31","2021","2021",122,1963692,6.2,6.5
,"Nebraska","31","2022","2022",126,1967923,6.4,6.8
,"Nebraska","31","2023","2023",80,1978379,4.0,4.4
,"Nebraska","31","2024 (provisional)","2024",68,1978379,3.4,3.6
,"Nebraska","31","2025 (provisional and partial)","2025",16,1978379,Unreliable,Unreliable
"Total","Nebraska","31",,,658,15667980,4.2,4.4
,"Nevada","32","2018","2018",399,3034392,13.1,12.3
,"Nevada","32","2019","2019",397,3080156,12.9,12.4
,"Nevada","32","2020","2020",584,3138259,18.6,18.6
,"Nevada","32","2021","2021",631,3143991,20.1,19.6
,"Nevada","32","2022","2022",660,3177772,20.8,20.6
,"Nevada","32","2023","2023",883,3194176,27.6,27.1
,"Nevada","32","2024 (provisional)","2024",822,3194176,25.7,25.1
,"Nevada","32","2025 (provisional and partial)","2025",178,3194176,5.6,5.4
"Total","Nevada","32",,,4554,25157098,18.1,17.7
